id,genre,track_name,artist_name,valence,energy,mood_vec,distances
13yEuYLJYxPCLJR0KNOqpk,acoustic,High,James Blunt,0.446,0.602,"[0.446, 0.602]",0.14340502083260545
5sra5UY6sD658OabHL3QtI,acoustic,Empire State of Mind (Part II) Broken Down,Alicia Keys,0.142,0.368,"[0.142, 0.368]",0.40900000000000003
3GEKqgBUD2WQIsuVBv9rU0,acoustic,American Boy - Radio 1 Live Lounge,Sam Sparro,0.637,0.564,"[0.637, 0.564]",0.1288099375048369
7vcuTZAFyu0Z5dgMRLR0h0,acoustic,Such Great Heights,Iron & Wine,0.552,0.275,"[0.552, 0.275]",0.2138457387931777
0EUSbTvyZfo9QOcxunL9Ro,acoustic,"In Your Atmosphere - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,0.297,0.442,"[0.297, 0.442]",0.2404412610181539
1ZXSLHLp5AJnCp12UXdYiO,acoustic,Sex On Fire,Alex Cornell,0.0568,0.408,"[0.0568, 0.408]",0.4828731096261212
5ECRlF2VFIdZYoY783Wxgp,acoustic,Sweet Dreams (Are Made of This) - Acoustic,ortoPilot,0.415,0.331,"[0.415, 0.331]",0.1964001018329675
567EmmCbOtpEuaVC2zznU6,acoustic,Dirty Old Town,Craig Cardiff,0.328,0.418,"[0.328, 0.418]",0.21662179022434472
5OiaAaIMYlCZONyDBxqk4G,acoustic,First Day Of My Life,Bright Eyes,0.385,0.201,"[0.385, 0.201]",0.3229133010577297
6J7cSyvSCnPwv3vqHchEfL,acoustic,If It Means a Lot to You,A Day To Remember,0.44,0.536,"[0.44, 0.536]",0.10465658125507449
6vFUFJzXkbbW2YHWt3tIom,acoustic,Cowboys and Angels - Edit,Various Artists,0.403,0.639,"[0.403, 0.639]",0.19925109786397666
3h7fGy7n9xhS1PupWW9vJ9,acoustic,We Are Young,Kurt Hugo Schneider,0.486,0.814,"[0.486, 0.814]",0.32937061192522926
